"Date2","Bitcoins"
2012-01-24,37.87367403
2012-01-25,1339.68909573
2012-01-26,2459.81943476
2012-01-27,1539.5042688
2012-01-28,1146.05553774
2012-01-29,405.10155102
2012-01-30,110.67602488
2012-01-31,2371.80703948
2012-02-01,4891.84330886
2012-02-02,58.05302977
2012-02-03,105.41549329
2012-02-04,0.70228399
2012-02-05,8870.83292816
2012-02-06,121.97178299
2012-02-07,1848.99140847
2012-02-08,57828.52726881
2012-02-09,69.86337731
2012-02-10,554.99951165
2012-02-11,6.64529138
2012-02-12,20.75968432
2012-02-13,1668.93453345
2012-02-14,722.89803418
2012-02-15,316.81654483
2012-02-16,228.74026724
2012-02-17,1886.83924599
2012-02-18,90.46079041
2012-02-19,22.25643875
2012-02-20,5.32989724
2012-02-21,89.38627409
2012-02-22,6.4059983
2012-02-23,4744.06521763
2012-02-24,74.47775577
2012-02-25,20.69271107
2012-02-26,73.58996489
2012-02-27,135.71155063
2012-02-28,19.6558
2012-02-29,48.21731869
2012-03-01,303.1080594
2012-03-02,32.37830936
2012-03-03,14.76628629
2012-03-04,0.71629472
2012-03-05,991.55817232
2012-03-06,0.380703
2012-03-07,8.11595751
2012-03-08,181.6933094
2012-03-09,1.64992302
2012-03-10,70.31567225
2012-03-11,7.63335943
2012-03-12,1
2012-03-13,1396.36119302
2012-03-14,69.34894115
2012-03-15,229.72277517
2012-03-16,39.88916017
2012-03-17,11.30210834
2012-03-18,149.08228871
2012-03-19,30224.36003731
2012-03-20,0.93429695
2012-03-21,48.13724804
2012-03-22,55.45486691
2012-03-23,141.84491164
2012-03-24,109.8187408
2012-03-25,105.19436027
2012-03-26,118.13413681
2012-03-27,272.31603751
2012-03-28,81.07195785
2012-03-29,0.16609
2012-03-30,3.38058608
2012-03-31,12.38409565
2012-04-01,64.9944962
2012-04-02,312.71196815
2012-04-03,561.12730034
2012-04-04,80.23760649
2012-04-05,139.42094443
2012-04-06,187.00689597
2012-04-07,137.10979824
2012-04-08,50.10174206
2012-04-09,99.2462887
2012-04-10,10.9653322
2012-04-11,8.11951062
2012-04-12,0.41342692
2012-04-13,28.12491612
2012-04-14,0.01
2012-04-15,54.47912557
2012-04-16,300.10883592
2012-04-17,0.04
2012-04-18,91.63328148
2012-04-19,15.08725213
2012-04-20,16.40835287
2012-04-21,62.8144473
2012-04-22,0.41
2012-04-23,0
2012-04-24,27.3796699
2012-04-25,19.77718128
2012-04-26,60.14185492
2012-04-27,52.8004324
2012-04-28,354.02230374
2012-04-29,34.86587293
2012-04-30,0.96307
2012-05-01,29.06330081
2012-05-02,123.46488148
2012-05-03,0
2012-05-04,0.02
2012-05-05,0
2012-05-06,0
2012-05-07,5.40973189
2012-05-08,2997.1
2012-05-09,0
2012-05-10,0.85267736
2012-05-11,20.1037246
2012-05-12,0
2012-05-13,69.3285488
2012-05-14,30.04
2012-05-15,0
2012-05-16,0.09776344
2012-05-17,6.46080678
2012-05-18,50
2012-05-19,78.99062843
2012-05-20,58.40533689
2012-05-21,12.82688442
2012-05-22,0.38972728
2012-05-23,125.99503793
2012-05-24,3.41488976
2012-05-25,0
2012-05-26,0.49641638
2012-05-27,44.66620261
2012-05-28,114.802987
2012-05-29,359.84572085
2012-05-30,773.6482423
2012-05-31,363.02162944
2012-06-01,1958.02273812
2012-06-02,141.54536838
2012-06-03,14.57836789
2012-06-04,28.61942087
2012-06-05,513.44512461
2012-06-06,86.33525928
2012-06-07,350.90745505
2012-06-08,103.99284404
2012-06-09,78.45807618
2012-06-10,0
2012-06-11,448.85745358
2012-06-12,78.62820788
2012-06-13,532.21065888
2012-06-14,334.02235589
2012-06-15,1552.09365253
2012-06-16,884.40165325
2012-06-17,41.8173096
2012-06-18,3.55735188
2012-06-19,45.21571471
2012-06-20,313.68430698
2012-06-21,134.65630756
2012-06-22,5.69070641
2012-06-23,62.43103147
2012-06-24,46.63005188
2012-06-25,92.43327177
2012-06-26,193.76355121
2012-06-27,0.61
2012-06-28,18.70464771
2012-06-29,9.81311952
2012-06-30,0.0098
2012-07-01,224.76871792
2012-07-02,278.43316552
2012-07-03,159.91108173
2012-07-04,13.10951521
2012-07-05,10.83566973
2012-07-06,89.67
2012-07-07,6.3328694
2012-07-08,0
2012-07-09,45.2676246
2012-07-10,113.47601182
2012-07-11,0.746
2012-07-12,259.60468063
2012-07-13,299.02468954
2012-07-14,0.01
2012-07-15,120.01
2012-07-16,26.65059678
2012-07-17,11271.60539833
2012-07-18,257.4711803
2012-07-19,1121.65430208
2012-07-20,3493.62746724
2012-07-21,18.68618
2012-07-22,41.65357925
2012-07-23,331.47031292
2012-07-24,936.62161336
2012-07-25,134.61643343
2012-07-26,108.4805637
2012-07-27,159.38151176
2012-07-28,2.28766384
2012-07-29,0.01001
2012-07-30,39.84423331
2012-07-31,145.08750904
2012-08-01,36.92294528
2012-08-02,595.01499896
2012-08-03,259.13827154
2012-08-04,126.54895567
2012-08-05,407.80749318
2012-08-06,237.75812137
2012-08-07,399.42853544
2012-08-08,150.41513102
2012-08-09,95.47332988
2012-08-10,66.95757399
2012-08-11,96.58000536
2012-08-12,251.27656939
2012-08-13,35.2051435
2012-08-14,54.09951137
2012-08-15,38.11029283
2012-08-16,416.6195189
2012-08-17,1298.16845852
2012-08-18,696.50490013
2012-08-19,339.01815087
2012-08-20,5511.68212958
2012-08-21,48.4803622
2012-08-22,229.568557
2012-08-23,3.07126039
